BirdID,BandID,LPDV,name,mean,lower,upper,Rhat,n.eff,Status
8184_2023,8184,0,int_2,3.239515569,3.132323836,3.344444471,1.000192705,27681,1
8184_2023,8184,0,sigma_1,0.42128609,0.348885446,0.497631313,1.000112643,23690,1
8185_2022,8185,1,cp_1,64.67480949,63.19374343,67.1818257,1.001009271,2718,0
8185_2022,8185,1,int_1,0.56807282,0.393798247,0.754110139,1.000449478,8186,0
8185_2022,8185,1,int_2,1.347302449,1.281251527,1.414403927,1.000144015,21160,0
8185_2022,8185,1,sigma_1,0.249838802,0.206957823,0.296141961,1.000261167,19140,0
8187_2023,8187,1,cp_1,98.93260265,91.90354695,101.9964864,1.049310836,310,0
8187_2023,8187,1,int_1,0.813298236,0.755592323,0.869044869,1.001257506,12411,0
8187_2023,8187,1,int_2,1.079276607,0.990268297,1.165957552,1.004706713,2947,0
8187_2023,8187,1,sigma_1,0.18488162,0.152795995,0.217369941,1.00068793,15966,0
8188_2022,8188,1,cp_1,95.43881908,94.74982127,95.99998704,1.001657583,7960,0
8188_2022,8188,1,int_1,0.766908852,0.621540213,0.915487101,1.000007755,27853,0
8188_2022,8188,1,int_2,1.908646009,1.754801041,2.06869466,1.000254244,24793,0
8188_2022,8188,1,sigma_1,0.392300697,0.316477535,0.473248005,1.000349994,21203,0
8188_2023,8188,1,cp_1,82.50079727,82.0295893,82.97880622,1.000127908,31985,1
8188_2023,8188,1,int_1,0.832178131,0.725826432,0.937234444,1.00002671,27126,1
8188_2023,8188,1,int_2,3.577198818,3.455151921,3.702477546,1.000011558,27942,1
8188_2023,8188,1,sigma_1,0.38472691999999997,0.329519388,0.443348742,1.000046004,25031,1
8189_2022,8189,1,cp_1,110.4993025,110.0206612,110.969527,0.99998676,32459,0
8189_2022,8189,1,int_1,0.862014043,0.798144187,0.924072154,1.000143502,26997,0
8189_2022,8189,1,int_2,2.334277377,2.201930149,2.466238332,1.000016513,28273,0
8189_2022,8189,1,sigma_1,0.209885562,0.169857145,0.252301075,1.000726892,22979,0
8190_2022,8190,1,cp_1,77.59943839,77.00007754,78.7291699,1.001079517,15196,0
