BirdID,name,mean,lower,upper,Rhat,n.eff
8172_2022,int_1,0.266288623,0.060022205,0.467820546,1.00007785,9596
8172_2022,int_2,0.871269345,0.7932603,0.9515454,1.000045458,19740
8172_2022,sigma_1,0.25327,0.206251311,0.306861354,1.000068931,22318
8173_2022,cp_1,76.99238429,73.99988883,78.44502476,1.000103122,1373
8173_2022,int_1,0.611900146,0.423143594,0.796224619,1.000039616,4363
8173_2022,int_2,1.349498667,1.272481125,1.427077667,1.000126097,10628
8173_2022,sigma_1,0.245983039,0.197548318,0.296500232,1.000120704,16815
8174_2023,cp_1,101.5367941,101.0038119,101.9962787,1.000419018,18730
8174_2023,int_1,0.381720309,0.196029909,0.558603589,1.000079123,27155
8174_2023,int_2,2.159710761,1.912263131,2.40567842,1.000380644,27056
8174_2023,sigma_1,0.542292439,0.440814491,0.653785391,1.0001825,22241
8175_2022,cp_1,74.38906594,71.0497322,79.35604405,1.047142986,360
8175_2022,int_1,0.782187075,0.541407637,1.053665592,1.007500552,1720
8175_2022,int_2,1.37429069,1.296946348,1.452579578,1.001046123,5246
8175_2022,sigma_1,0.252839292,0.204055355,0.304705148,1.000501262,16147
8175_2023,cp_1,81.84119496,67.00557874,107.941148,1.002492084,730
8175_2023,int_1,0.233219591,0.120041339,0.357076792,1.000576135,2457
8175_2023,int_2,0.380389285,0.311992897,0.44033949,1.00548876,2335
8175_2023,sigma_1,0.15486886,0.125165543,0.186135125,1.000031422,16407
8176_2023,cp_1,89.77138053,78.04234535,110.7038634,1.003825261,1089
8176_2023,int_1,0.29734769,0.154609609,0.436046844,1.001376622,3713
8176_2023,int_2,0.577411656,0.435940763,0.716934746,1.001516125,2226
8176_2023,sigma_1,0.259549624,0.207397049,0.316823795,1.00021243,14586
8177_2022,cp_1,70.11304656,67.7552119,73.9562114,1.077932764,340
8177_2022,int_1,0.429585847,0.20296951,0.67061756,1.013935139,2436
8177_2022,int_2,1.357240875,1.24891334,1.464566637,1.006863476,4961
8177_2022,sigma_1,0.348147103,0.287724647,0.412120255,1.000612499,17768
