BandID,BirdID,age,studyarea,captyr,Yr,name,mean,upper,lower,LPDV,Status,yrsincecap
8184,8184_2022,0,2D,2022,2022,int_1,0.971262027,1.195352454,0.749796595,0,1,0
8184,8184_2022,0,2D,2022,2022,int_2,9.390105442,9.633091675,9.150322713,0,1,0
8184,8184_2022,0,2D,2022,2022,sigma_1,0.669045924,0.790617176,0.553909092,0,1,0
8184,8184_2023,0,2D,2022,2023,cp_1,58.50001341,58.99773457,58.05102257,0,1,1
8184,8184_2023,0,2D,2022,2023,int_1,0.633719809,1.038813309,0.22442372,0,1,1
8184,8184_2023,0,2D,2022,2023,int_2,3.239515569,3.344444471,3.132323836,0,1,1
8184,8184_2023,0,2D,2022,2023,sigma_1,0.42128609,0.497631313,0.348885446,0,1,1
8185,8185_2022,0,2D,2022,2022,cp_1,64.67480949,67.1818257,63.19374343,1,0,0
8185,8185_2022,0,2D,2022,2022,int_1,0.56807282,0.754110139,0.393798247,1,0,0
8185,8185_2022,0,2D,2022,2022,int_2,1.347302449,1.414403927,1.281251527,1,0,0
8185,8185_2022,0,2D,2022,2022,sigma_1,0.249838802,0.296141961,0.206957823,1,0,0
8187,8187_2023,0,2D,2022,2023,cp_1,98.93260265,101.9964864,91.90354695,1,0,1
8187,8187_2023,0,2D,2022,2023,int_1,0.813298236,0.869044869,0.755592323,1,0,1
8187,8187_2023,0,2D,2022,2023,int_2,1.079276607,1.165957552,0.990268297,1,0,1
8187,8187_2023,0,2D,2022,2023,sigma_1,0.18488162,0.217369941,0.152795995,1,0,1
8188,8188_2022,0,2D,2022,2022,cp_1,95.43881908,95.99998704,94.74982127,1,0,0
8188,8188_2022,0,2D,2022,2022,int_1,0.766908852,0.915487101,0.621540213,1,0,0
8188,8188_2022,0,2D,2022,2022,int_2,1.908646009,2.06869466,1.754801041,1,0,0
8188,8188_2022,0,2D,2022,2022,sigma_1,0.392300697,0.473248005,0.316477535,1,0,0
8188,8188_2023,0,2D,2022,2023,cp_1,82.50079727,82.97880622,82.0295893,1,1,1
8188,8188_2023,0,2D,2022,2023,int_1,0.832178131,0.937234444,0.725826432,1,1,1
8188,8188_2023,0,2D,2022,2023,int_2,3.577198818,3.702477546,3.455151921,1,1,1
8188,8188_2023,0,2D,2022,2023,sigma_1,0.38472691999999997,0.443348742,0.329519388,1,1,1
8189,8189_2022,0,2D,2022,2022,cp_1,110.4993025,110.969527,110.0206612,1,0,0
8189,8189_2022,0,2D,2022,2022,int_1,0.862014043,0.924072154,0.798144187,1,0,0
8189,8189_2022,0,2D,2022,2022,int_2,2.334277377,2.466238332,2.201930149,1,0,0
8189,8189_2022,0,2D,2022,2022,sigma_1,0.209885562,0.252301075,0.169857145,1,0,0
8190,8190_2022,0,2D,2022,2022,cp_1,77.59943839,78.7291699,77.00007754,1,0,0
8190,8190_2022,0,2D,2022,2022,int_1,0.758621003,0.869994438,0.645702079,1,0,0
8190,8190_2022,0,2D,2022,2022,int_2,1.262757338,1.318441562,1.203357298,1,0,0
8190,8190_2022,0,2D,2022,2022,sigma_1,0.178870612,0.216949388,0.141949862,1,0,0
8202,8202_2022,1,4D,2022,2022,cp_1,85.50147662,85.97552558,85.02282205,0,1,0
8202,8202_2022,1,4D,2022,2022,int_1,0.669716973,0.756949043,0.582291305,0,1,0
8202,8202_2022,1,4D,2022,2022,int_2,3.229493832,3.347317363,3.112817349,0,1,0
8202,8202_2022,1,4D,2022,2022,sigma_1,0.32597955,0.377050103,0.277122954,0,1,0
8203,8203_2022,1,4D,2022,2022,cp_1,81.9902054,84.99804456,79.5482595,1,0,0
8203,8203_2022,1,4D,2022,2022,int_1,0.663711394,0.744902637,0.582219803,1,0,0
8203,8203_2022,1,4D,2022,2022,int_2,1.257143636,1.362122102,1.148795702,1,0,0
8203,8203_2022,1,4D,2022,2022,sigma_1,0.286084033,0.332590833,0.24208758,1,0,0
8203,8203_2023,0,4D,2022,2023,cp_1,94.49709254,94.96406622,94.01078903,1,0,1
8203,8203_2023,0,4D,2022,2023,int_1,0.387806616,0.455376422,0.320553324,1,0,1
8203,8203_2023,0,4D,2022,2023,int_2,1.836791238,1.941836416,1.732500076,1,0,1
8203,8203_2023,0,4D,2022,2023,sigma_1,0.271877767,0.312820418,0.233241586,1,0,1
8206,8206_2022,1,4D,2022,2022,cp_1,88.5074894,88.98505227,88.02934136,0,1,0
8206,8206_2022,1,4D,2022,2022,int_1,0.806759416,1.112020634,0.498628376,0,1,0
